               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.062409,           0.0076387,           0.0029652,             0.68213,             0.54994,             0.58963,             0.26212,            0.061493,            0.002753,           0.0019855,            0.002278,            0.002278,            0.002278
                 119,            0.063504,            0.007592,           0.0030778,             0.69716,             0.55095,             0.58888,             0.26363,            0.061819,           0.0027999,            0.002295,            0.002212,            0.002212,            0.002212
                 120,            0.063431,           0.0075856,            0.002959,             0.65025,              0.5645,             0.57927,             0.26203,            0.061339,            0.002821,           0.0023558,            0.002146,            0.002146,            0.002146
                 121,            0.063484,           0.0076509,           0.0031671,             0.69075,             0.52132,              0.5727,             0.27918,            0.062932,           0.0028173,           0.0028415,             0.00208,             0.00208,             0.00208
                 122,            0.063534,           0.0077071,           0.0030958,             0.72146,             0.53872,             0.59788,             0.27218,            0.061556,           0.0028365,           0.0018314,            0.002014,            0.002014,            0.002014
                 123,            0.064063,           0.0078309,           0.0033304,             0.70024,             0.55967,             0.61139,             0.28315,            0.060642,           0.0028193,           0.0016266,            0.001948,            0.001948,            0.001948
                 124,            0.062959,           0.0077277,           0.0029298,             0.66624,             0.56932,             0.59429,              0.2727,            0.060826,           0.0028501,           0.0015053,            0.001882,            0.001882,            0.001882
                 125,            0.063645,           0.0075753,           0.0030313,             0.65908,             0.55662,             0.59595,             0.25853,            0.061256,           0.0028283,           0.0018547,            0.001816,            0.001816,            0.001816
                 126,            0.063482,           0.0076516,           0.0028806,             0.73388,             0.53937,             0.61194,             0.27472,            0.061453,           0.0028468,           0.0016831,             0.00175,             0.00175,             0.00175
                 127,            0.061934,           0.0075923,           0.0028303,             0.66284,              0.5852,             0.59427,             0.26499,            0.060666,           0.0028154,           0.0017114,            0.001684,            0.001684,            0.001684
                 128,            0.061085,           0.0076811,           0.0026955,             0.70011,             0.57297,             0.62377,              0.2682,              0.0606,           0.0027549,           0.0018114,            0.001618,            0.001618,            0.001618
                 129,            0.060708,           0.0073997,           0.0028986,             0.71773,              0.5598,             0.61542,             0.26156,            0.060249,            0.002789,           0.0017789,            0.001552,            0.001552,            0.001552
                 130,            0.062803,           0.0076675,           0.0029352,             0.68386,             0.56756,             0.58692,             0.26367,            0.060545,           0.0028527,           0.0016783,            0.001486,            0.001486,            0.001486
                 131,            0.062489,           0.0076482,           0.0028638,             0.70841,             0.57947,             0.61758,             0.27155,            0.060523,           0.0028399,           0.0015863,             0.00142,             0.00142,             0.00142
                 132,            0.061665,           0.0075496,           0.0026615,             0.70495,             0.58736,             0.63068,             0.27998,             0.06037,           0.0027794,           0.0014867,            0.001354,            0.001354,            0.001354
                 133,            0.062858,           0.0076701,           0.0033609,             0.66518,             0.59358,             0.61059,              0.2839,            0.060102,           0.0027873,           0.0016687,            0.001288,            0.001288,            0.001288
                 134,            0.061417,           0.0074609,           0.0030253,             0.69495,             0.57424,             0.62241,             0.27205,            0.060204,           0.0028173,            0.001835,            0.001222,            0.001222,            0.001222
                 135,            0.061825,            0.007631,           0.0030827,             0.69638,             0.57309,             0.62188,             0.27088,            0.060152,           0.0028281,           0.0016599,            0.001156,            0.001156,            0.001156
                 136,             0.06183,           0.0073785,           0.0033241,             0.67761,             0.58983,             0.62798,             0.27072,            0.059705,           0.0028072,           0.0014862,             0.00109,             0.00109,             0.00109
                 137,            0.061646,           0.0074839,           0.0033064,             0.65479,             0.60082,             0.61278,             0.26529,            0.060257,           0.0028285,           0.0015005,            0.001024,            0.001024,            0.001024
                 138,            0.060954,           0.0076076,           0.0026052,              0.6666,             0.60393,              0.6109,             0.27002,            0.060274,           0.0028167,           0.0014612,            0.000958,            0.000958,            0.000958
                 139,            0.061413,           0.0075935,           0.0027477,              0.6854,             0.59851,             0.61727,              0.2729,            0.059918,           0.0028067,           0.0015086,            0.000892,            0.000892,            0.000892
                 140,            0.061667,            0.007543,           0.0027914,              0.6929,             0.59545,             0.63185,             0.28095,            0.060113,           0.0028344,           0.0015563,            0.000826,            0.000826,            0.000826
                 141,            0.061525,           0.0074756,           0.0027945,             0.70321,              0.5866,             0.63051,             0.27388,            0.059647,           0.0028252,           0.0015147,             0.00076,             0.00076,             0.00076
                 142,            0.061687,           0.0075253,           0.0027441,             0.69965,             0.60198,             0.63491,             0.27283,            0.059529,           0.0028162,           0.0013893,            0.000694,            0.000694,            0.000694
                 143,            0.063223,           0.0076894,           0.0030947,             0.68425,             0.60325,              0.6337,             0.27274,            0.059533,           0.0028034,           0.0014131,            0.000628,            0.000628,            0.000628
                 144,             0.06184,           0.0075541,           0.0027496,             0.65447,             0.62653,             0.63042,             0.27126,            0.059751,           0.0028089,           0.0014443,            0.000562,            0.000562,            0.000562
                 145,            0.060144,           0.0073386,           0.0028717,             0.65889,             0.61656,             0.62252,             0.27354,            0.059726,           0.0027994,           0.0014285,            0.000496,            0.000496,            0.000496
                 146,            0.061165,           0.0075239,           0.0029881,             0.69378,             0.60757,             0.63637,             0.28172,            0.059282,           0.0028004,           0.0013372,             0.00043,             0.00043,             0.00043
                 147,            0.060142,           0.0073941,           0.0028329,             0.72804,             0.59377,             0.64547,             0.27894,            0.059542,           0.0028185,            0.001331,            0.000364,            0.000364,            0.000364
                 148,            0.062396,           0.0074971,           0.0027366,             0.66757,             0.61481,              0.6237,             0.27596,            0.059343,           0.0028151,            0.001341,            0.000298,            0.000298,            0.000298
                 149,            0.061529,           0.0075576,           0.0027156,             0.70659,             0.60815,             0.64619,             0.28386,            0.059088,           0.0028037,           0.0013432,            0.000232,            0.000232,            0.000232
